uniqueID,StudyNum,age,sex,group,targFile,Date,block,trial,CueType,TargLoc,TargDirection,Congruency,TrialStartTime,targetOnTime,firstFix,Response,Correct,RT,LowRT
undefined,,,,,Flèche,28-Jan-2026,0,1,4,UP,R,congruent,14:53:47,14:53:49,1214,R,1,778,0
undefined,,,,,Flèche,28-Jan-2026,0,2,4,DOWN,L,congruent,14:53:50,14:53:52,930,R,0,622,0
undefined,,,,,Flèche,28-Jan-2026,0,3,3,DOWN,L,incongruent,14:53:54,14:53:55,1019,R,0,894,0
undefined,,,,,Flèche,28-Jan-2026,0,4,4,UP,L,incongruent,14:53:57,14:53:59,1368,None,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,0,5,3,DOWN,L,congruent,14:54:01,14:54:03,1439,R,0,981,0
undefined,,,,,Flèche,28-Jan-2026,0,6,2,UP,R,congruent,14:54:04,14:54:06,1268,L,0,820,0
undefined,,,,,Flèche,28-Jan-2026,0,7,3,UP,L,incongruent,14:54:08,14:54:09,918,R,0,6,1
undefined,,,,,Flèche,28-Jan-2026,0,8,4,UP,L,congruent,14:54:11,14:54:13,1135,R,0,905,0
undefined,,,,,Flèche,28-Jan-2026,0,9,4,DOWN,R,congruent,14:54:15,14:54:16,1059,R,1,1594,0
undefined,,,,,Flèche,28-Jan-2026,0,10,2,UP,L,incongruent,14:54:18,14:54:20,813,L,1,963,0
undefined,,,,,Flèche,28-Jan-2026,0,11,3,DOWN,R,congruent,14:54:22,14:54:24,1418,L,0,749,0
undefined,,,,,Flèche,28-Jan-2026,0,12,4,DOWN,L,incongruent,14:54:25,14:54:27,1382,R,0,1003,0
undefined,,,,,Flèche,28-Jan-2026,0,13,2,DOWN,L,congruent,14:54:29,14:54:30,696,L,1,894,0
undefined,,,,,Flèche,28-Jan-2026,0,14,3,UP,R,incongruent,14:54:32,14:54:34,752,R,0,100,0
undefined,,,,,Flèche,28-Jan-2026,0,15,3,DOWN,R,incongruent,14:54:36,14:54:38,1380,R,1,690,0
undefined,,,,,Flèche,28-Jan-2026,0,16,3,UP,L,congruent,14:54:39,14:54:41,1174,R,0,763,0
undefined,,,,,Flèche,28-Jan-2026,0,17,2,UP,R,incongruent,14:54:43,14:54:44,735,L,0,623,0
