uniqueID,StudyNum,age,sex,group,targFile,Date,block,trial,CueType,TargLoc,TargDirection,Congruency,TrialStartTime,targetOnTime,firstFix,Response,Correct,RT,LowRT
undefined,,,,,Flèche,28-Jan-2026,0,1,2,DOWN,R,congruent,15:53:03,15:53:05,1247,R,1,778,0
undefined,,,,,Flèche,28-Jan-2026,0,2,4,UP,L,congruent,15:53:07,15:53:08,467,L,1,1639,0
undefined,,,,,Flèche,28-Jan-2026,0,3,3,UP,R,congruent,15:53:10,15:53:12,1264,R,1,889,0
undefined,,,,,Flèche,28-Jan-2026,0,4,3,DOWN,L,congruent,15:53:14,15:53:15,522,L,1,323,0
undefined,,,,,Flèche,28-Jan-2026,0,5,1,DOWN,L,incongruent,15:53:17,15:53:18,621,L,1,393,0
undefined,,,,,Flèche,28-Jan-2026,0,6,3,DOWN,R,congruent,15:53:21,15:53:22,1183,L,0,750,0
undefined,,,,,Flèche,28-Jan-2026,0,7,3,DOWN,R,incongruent,15:53:24,15:53:25,753,R,1,402,0
undefined,,,,,Flèche,28-Jan-2026,0,8,4,DOWN,R,congruent,15:53:28,15:53:29,1253,L,0,86,1
undefined,,,,,Flèche,28-Jan-2026,0,9,1,DOWN,R,incongruent,15:53:31,15:53:32,618,L,0,739,0
undefined,,,,,Flèche,28-Jan-2026,0,10,2,DOWN,L,incongruent,15:53:35,15:53:36,767,L,1,956,0
undefined,,,,,Flèche,28-Jan-2026,0,11,3,UP,L,congruent,15:53:38,15:53:40,876,R,0,902,0
undefined,,,,,Flèche,28-Jan-2026,0,12,4,DOWN,R,incongruent,15:53:42,15:53:43,1201,L,0,767,0
undefined,,,,,Flèche,28-Jan-2026,0,13,3,UP,R,incongruent,15:53:45,15:53:48,1431,L,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,0,14,2,DOWN,R,incongruent,15:53:51,15:53:54,589,R,1,1003,0
undefined,,,,,Flèche,28-Jan-2026,0,15,4,UP,R,incongruent,15:53:56,15:53:59,422,R,1,743,0
undefined,,,,,Flèche,28-Jan-2026,0,16,2,UP,L,incongruent,15:53:59,15:54:01,1283,R,0,773,0
undefined,,,,,Flèche,28-Jan-2026,0,17,1,UP,R,congruent,15:54:03,15:54:04,474,L,0,435,0
undefined,,,,,Flèche,28-Jan-2026,0,18,1,UP,R,incongruent,15:54:07,15:54:08,1050,L,0,414,0
undefined,,,,,Flèche,28-Jan-2026,0,19,4,UP,L,incongruent,15:54:10,15:54:12,1257,R,0,518,0
undefined,,,,,Flèche,28-Jan-2026,0,20,2,UP,R,incongruent,15:54:14,15:54:15,1387,R,1,677,0
undefined,,,,,Flèche,28-Jan-2026,0,21,2,DOWN,L,congruent,15:54:17,15:54:19,1135,R,0,278,0
