uniqueID,StudyNum,age,sex,group,targFile,Date,block,trial,CueType,TargLoc,TargDirection,Congruency,TrialStartTime,targetOnTime,firstFix,Response,Correct,RT,LowRT
undefined,,,,,Flèche,28-Jan-2026,0,1,3,DOWN,L,incongruent,15:53:44,15:53:46,843,L,1,1700,0
undefined,,,,,Flèche,28-Jan-2026,0,2,4,UP,L,congruent,15:53:49,15:53:53,1214,R,0,1005,0
undefined,,,,,Flèche,28-Jan-2026,0,3,4,UP,R,congruent,15:53:55,15:53:58,433,None,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,0,4,2,UP,R,congruent,15:54:00,15:54:01,1018,L,0,1384,0
undefined,,,,,Flèche,28-Jan-2026,0,5,4,DOWN,L,incongruent,15:54:03,15:54:04,770,R,0,302,0
undefined,,,,,Flèche,28-Jan-2026,0,6,1,DOWN,L,congruent,15:54:07,15:54:08,733,R,0,636,0
undefined,,,,,Flèche,28-Jan-2026,0,7,3,UP,R,incongruent,15:54:10,15:54:11,516,L,0,1104,0
undefined,,,,,Flèche,28-Jan-2026,0,8,4,UP,R,incongruent,15:54:14,15:54:15,644,L,0,716,0
undefined,,,,,Flèche,28-Jan-2026,0,9,3,UP,L,incongruent,15:54:17,15:54:19,1204,L,1,990,0
undefined,,,,,Flèche,28-Jan-2026,0,10,2,DOWN,L,congruent,15:54:21,15:54:22,1188,R,0,210,0
undefined,,,,,Flèche,28-Jan-2026,0,11,1,UP,R,incongruent,15:54:24,15:54:25,504,R,1,389,0
undefined,,,,,Flèche,28-Jan-2026,0,12,4,DOWN,R,incongruent,15:54:28,15:54:29,949,L,0,944,0
undefined,,,,,Flèche,28-Jan-2026,0,13,2,UP,L,incongruent,15:54:31,15:54:33,1272,None,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,0,14,1,DOWN,R,incongruent,15:54:35,15:54:36,581,R,1,824,0
undefined,,,,,Flèche,28-Jan-2026,0,15,2,DOWN,R,incongruent,15:54:38,15:54:40,1019,L,0,906,0
undefined,,,,,Flèche,28-Jan-2026,0,16,1,UP,L,incongruent,15:54:42,15:54:43,856,R,0,984,0
undefined,,,,,Flèche,28-Jan-2026,0,17,2,DOWN,R,congruent,15:54:45,15:54:47,1191,L,0,1021,0
undefined,,,,,Flèche,28-Jan-2026,0,18,3,DOWN,R,incongruent,15:54:49,15:54:50,721,R,1,664,0
undefined,,,,,Flèche,28-Jan-2026,0,19,1,UP,R,congruent,15:54:52,15:54:53,401,R,1,1038,0
undefined,,,,,Flèche,28-Jan-2026,0,20,4,DOWN,R,congruent,15:54:56,15:54:58,1398,L,0,821,0
undefined,,,,,Flèche,28-Jan-2026,0,21,4,DOWN,L,congruent,15:54:59,15:55:01,949,R,0,664,0
undefined,,,,,Flèche,28-Jan-2026,0,22,2,UP,R,incongruent,15:55:03,15:55:04,1220,L,0,851,0
undefined,,,,,Flèche,28-Jan-2026,0,23,1,UP,L,congruent,15:55:06,15:55:08,1205,R,0,851,0
undefined,,,,,Flèche,28-Jan-2026,0,24,2,UP,L,congruent,15:55:10,15:55:11,1092,R,0,578,0
undefined,,,,,Flèche,28-Jan-2026,0,25,3,DOWN,R,congruent,15:55:13,15:55:15,1343,L,0,898,0
undefined,,,,,Flèche,28-Jan-2026,0,26,1,DOWN,R,congruent,15:55:17,15:55:18,1182,R,1,446,0
undefined,,,,,Flèche,28-Jan-2026,0,27,2,DOWN,L,incongruent,15:55:20,15:55:22,1283,L,1,826,0
undefined,,,,,Flèche,28-Jan-2026,0,28,1,DOWN,L,incongruent,15:55:24,15:55:25,990,R,0,973,0
undefined,,,,,Flèche,28-Jan-2026,0,29,3,DOWN,L,congruent,15:55:27,15:55:28,663,R,0,1238,0
undefined,,,,,Flèche,28-Jan-2026,0,30,4,UP,L,incongruent,15:55:31,15:55:32,911,L,1,993,0
undefined,,,,,Flèche,28-Jan-2026,0,31,3,UP,L,congruent,15:55:34,15:55:35,533,L,1,877,0
undefined,,,,,Flèche,28-Jan-2026,0,32,3,UP,R,congruent,15:55:38,15:55:39,1198,L,0,934,0
undefined,,,,,Flèche,28-Jan-2026,1,1,2,DOWN,R,incongruent,15:55:41,15:55:43,1269,L,0,1196,0
undefined,,,,,Flèche,28-Jan-2026,1,2,4,UP,L,congruent,15:55:45,15:55:46,701,L,1,816,0
undefined,,,,,Flèche,28-Jan-2026,1,3,4,DOWN,R,congruent,15:55:48,15:55:50,1097,L,0,1106,0
undefined,,,,,Flèche,28-Jan-2026,1,4,3,UP,R,incongruent,15:55:52,15:55:53,1140,R,1,474,0
undefined,,,,,Flèche,28-Jan-2026,1,5,4,DOWN,L,incongruent,15:55:55,15:55:57,813,L,1,663,0
undefined,,,,,Flèche,28-Jan-2026,1,6,1,UP,L,incongruent,15:55:59,15:56:01,1473,R,0,1026,0
undefined,,,,,Flèche,28-Jan-2026,1,7,4,DOWN,L,congruent,15:56:02,15:56:04,936,L,1,1057,0
undefined,,,,,Flèche,28-Jan-2026,1,8,2,DOWN,L,incongruent,15:56:06,15:56:07,578,R,0,460,0
undefined,,,,,Flèche,28-Jan-2026,1,9,3,UP,L,incongruent,15:56:09,15:56:11,908,R,0,543,0
undefined,,,,,Flèche,28-Jan-2026,1,10,2,DOWN,R,congruent,15:56:13,15:56:14,536,None,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,1,11,1,UP,L,congruent,15:56:16,15:56:18,1539,L,1,210,0
undefined,,,,,Flèche,28-Jan-2026,1,12,2,UP,R,incongruent,15:56:20,15:56:21,1128,R,1,575,0
undefined,,,,,Flèche,28-Jan-2026,1,13,2,UP,L,incongruent,15:56:23,15:56:25,1436,L,1,842,0
undefined,,,,,Flèche,28-Jan-2026,1,14,1,UP,R,incongruent,15:56:27,15:56:28,608,L,0,658,0
undefined,,,,,Flèche,28-Jan-2026,1,15,1,UP,R,congruent,15:56:30,15:56:32,1417,L,0,44,1
undefined,,,,,Flèche,28-Jan-2026,1,16,2,DOWN,L,congruent,15:56:34,15:56:35,1059,R,0,999,0
undefined,,,,,Flèche,28-Jan-2026,1,17,3,UP,R,congruent,15:56:37,15:56:39,888,L,0,617,0
undefined,,,,,Flèche,28-Jan-2026,1,18,3,UP,L,congruent,15:56:41,15:56:42,1019,L,1,553,0
undefined,,,,,Flèche,28-Jan-2026,1,19,3,DOWN,L,incongruent,15:56:44,15:56:46,1076,R,0,739,0
undefined,,,,,Flèche,28-Jan-2026,1,20,1,DOWN,L,congruent,15:56:48,15:56:50,1575,R,0,593,0
undefined,,,,,Flèche,28-Jan-2026,1,21,1,DOWN,R,congruent,15:56:51,15:56:53,814,L,0,415,0
undefined,,,,,Flèche,28-Jan-2026,1,22,3,DOWN,L,congruent,15:56:55,15:56:56,843,R,0,1331,0
undefined,,,,,Flèche,28-Jan-2026,1,23,4,UP,L,incongruent,15:56:58,15:57:00,884,R,0,765,0
undefined,,,,,Flèche,28-Jan-2026,1,24,1,DOWN,L,incongruent,15:57:02,15:57:03,706,L,1,791,0
undefined,,,,,Flèche,28-Jan-2026,1,25,2,UP,R,congruent,15:57:05,15:57:07,695,L,0,464,0
undefined,,,,,Flèche,28-Jan-2026,1,26,4,DOWN,R,incongruent,15:57:09,15:57:10,420,R,1,859,0
undefined,,,,,Flèche,28-Jan-2026,1,27,1,DOWN,R,incongruent,15:57:12,15:57:13,421,R,1,868,0
undefined,,,,,Flèche,28-Jan-2026,1,28,3,DOWN,R,congruent,15:57:16,15:57:17,808,L,0,877,0
undefined,,,,,Flèche,28-Jan-2026,1,29,2,UP,L,congruent,15:57:19,15:57:21,786,L,1,957,0
undefined,,,,,Flèche,28-Jan-2026,1,30,3,DOWN,R,incongruent,15:57:23,15:57:24,945,R,1,385,0
undefined,,,,,Flèche,28-Jan-2026,1,31,4,UP,R,incongruent,15:57:26,15:57:27,533,L,0,660,0
undefined,,,,,Flèche,28-Jan-2026,1,32,4,UP,R,congruent,15:57:30,15:57:31,942,R,0,73,1
undefined,,,,,Flèche,28-Jan-2026,2,1,1,DOWN,R,congruent,15:57:33,15:57:35,1089,R,1,263,0
undefined,,,,,Flèche,28-Jan-2026,2,2,4,DOWN,L,incongruent,15:57:37,15:57:38,812,None,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,2,3,1,DOWN,L,congruent,15:57:40,15:57:42,1390,None,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,2,4,3,DOWN,R,congruent,15:57:44,15:57:45,461,L,0,568,0
undefined,,,,,Flèche,28-Jan-2026,2,5,3,UP,L,incongruent,15:57:48,15:57:49,647,None,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,2,6,1,DOWN,L,incongruent,15:57:51,15:57:53,1395,R,0,1180,0
undefined,,,,,Flèche,28-Jan-2026,2,7,2,DOWN,L,congruent,15:57:55,15:57:56,1389,L,1,645,0
undefined,,,,,Flèche,28-Jan-2026,2,8,2,UP,L,incongruent,15:57:58,15:57:59,596,L,1,1048,0
undefined,,,,,Flèche,28-Jan-2026,2,9,4,DOWN,R,incongruent,15:58:02,15:58:02,434,L,0,835,0
undefined,,,,,Flèche,28-Jan-2026,2,10,3,DOWN,L,incongruent,15:58:05,15:58:06,815,L,1,790,0
undefined,,,,,Flèche,28-Jan-2026,2,11,4,UP,R,congruent,15:58:09,15:58:09,439,L,0,622,0
undefined,,,,,Flèche,28-Jan-2026,2,12,2,DOWN,R,incongruent,15:58:12,15:58:14,1444,L,0,91,1
undefined,,,,,Flèche,28-Jan-2026,2,13,4,DOWN,R,congruent,15:58:16,15:58:17,828,R,1,887,0
undefined,,,,,Flèche,28-Jan-2026,2,14,2,DOWN,L,incongruent,15:58:19,15:58:21,1513,R,0,1321,0
undefined,,,,,Flèche,28-Jan-2026,2,15,2,UP,L,congruent,15:58:23,15:58:24,969,R,0,708,0
undefined,,,,,Flèche,28-Jan-2026,2,16,3,UP,R,congruent,15:58:26,15:58:27,404,L,0,442,0
undefined,,,,,Flèche,28-Jan-2026,2,17,4,UP,L,congruent,15:58:30,15:58:31,1214,None,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,2,18,2,UP,R,congruent,15:58:33,15:58:34,785,R,1,1312,0
undefined,,,,,Flèche,28-Jan-2026,2,19,2,DOWN,R,congruent,15:58:37,15:58:38,680,L,0,754,0
undefined,,,,,Flèche,28-Jan-2026,2,20,1,UP,L,congruent,15:58:40,15:58:41,804,R,0,710,0
undefined,,,,,Flèche,28-Jan-2026,2,21,1,UP,L,incongruent,15:58:44,15:58:45,684,L,1,897,0
undefined,,,,,Flèche,28-Jan-2026,2,22,3,UP,R,incongruent,15:58:47,15:58:49,1220,R,1,533,0
undefined,,,,,Flèche,28-Jan-2026,2,23,2,UP,R,incongruent,15:58:51,15:58:52,427,L,0,866,0
undefined,,,,,Flèche,28-Jan-2026,2,24,4,UP,R,incongruent,15:58:54,15:58:56,1167,L,0,595,0
undefined,,,,,Flèche,28-Jan-2026,2,25,1,UP,R,incongruent,15:58:58,15:58:59,785,L,0,1134,0
undefined,,,,,Flèche,28-Jan-2026,2,26,3,DOWN,L,congruent,15:59:01,15:59:02,409,R,0,636,0
undefined,,,,,Flèche,28-Jan-2026,2,27,1,DOWN,R,incongruent,15:59:05,15:59:07,1499,None,0,1700,0
undefined,,,,,Flèche,28-Jan-2026,2,28,3,UP,L,congruent,15:59:08,15:59:10,957,L,1,874,0
undefined,,,,,Flèche,28-Jan-2026,2,29,1,UP,R,congruent,15:59:12,15:59:13,973,L,0,886,0
undefined,,,,,Flèche,28-Jan-2026,2,30,4,UP,L,incongruent,15:59:15,15:59:17,1401,L,1,589,0
undefined,,,,,Flèche,28-Jan-2026,2,31,4,DOWN,L,congruent,15:59:19,15:59:20,813,L,1,1571,0
undefined,,,,,Flèche,28-Jan-2026,2,32,3,DOWN,R,incongruent,15:59:22,15:59:24,935,R,1,1145,0
undefined,,,,,Flèche,28-Jan-2026,3,1,4,UP,L,incongruent,15:59:26,15:59:28,1193,R,0,1372,0
undefined,,,,,Flèche,28-Jan-2026,3,2,3,DOWN,L,congruent,15:59:29,15:59:31,758,R,0,1132,0
undefined,,,,,Flèche,28-Jan-2026,3,3,2,UP,L,congruent,15:59:33,15:59:35,1182,R,0,776,0
undefined,,,,,Flèche,28-Jan-2026,3,4,4,UP,R,congruent,15:59:36,15:59:38,1085,R,1,557,0
undefined,,,,,Flèche,28-Jan-2026,3,5,2,UP,R,incongruent,15:59:40,15:59:42,1146,L,0,1154,0
