uniqueID,StudyNum,age,sex,group,targFile,Date,block,trial,CueType,TargLoc,TargDirection,Congruency,TrialStartTime,targetOnTime,firstFix,Response,Correct,RT,LowRT
undefined,,,,,Flèche,16-Jan-2026,0,1,1,UP,R,incongruent,16:28:58,16:28:59,602,L,0,114,0
undefined,,,,,Flèche,16-Jan-2026,0,2,4,DOWN,R,incongruent,16:29:01,16:29:03,902,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,0,3,2,UP,L,incongruent,16:29:05,16:29:06,568,R,0,463,0
undefined,,,,,Flèche,16-Jan-2026,0,4,3,UP,R,congruent,16:29:08,16:29:10,883,L,0,74,1
undefined,,,,,Flèche,16-Jan-2026,0,5,4,DOWN,R,congruent,16:29:12,16:29:13,656,R,1,650,0
undefined,,,,,Flèche,16-Jan-2026,0,6,4,UP,R,congruent,16:29:15,16:29:17,621,R,1,1048,0
undefined,,,,,Flèche,16-Jan-2026,0,7,1,DOWN,R,incongruent,16:29:19,16:29:20,673,R,1,1190,0
undefined,,,,,Flèche,16-Jan-2026,0,8,4,UP,R,incongruent,16:29:22,16:29:24,698,L,0,328,0
undefined,,,,,Flèche,16-Jan-2026,0,9,3,DOWN,L,congruent,16:29:26,16:29:27,754,R,0,678,0
undefined,,,,,Flèche,16-Jan-2026,0,10,3,UP,R,incongruent,16:29:29,16:29:31,986,L,0,475,0
undefined,,,,,Flèche,16-Jan-2026,0,11,3,UP,L,congruent,16:29:33,16:29:34,416,R,0,1043,0
undefined,,,,,Flèche,16-Jan-2026,0,12,2,DOWN,R,congruent,16:29:36,16:29:38,863,R,1,1052,0
undefined,,,,,Flèche,16-Jan-2026,0,13,2,DOWN,R,incongruent,16:29:40,16:29:41,722,L,0,397,0
undefined,,,,,Flèche,16-Jan-2026,0,14,4,DOWN,L,incongruent,16:29:43,16:29:44,411,L,1,259,0
undefined,,,,,Flèche,16-Jan-2026,0,15,2,UP,R,congruent,16:29:47,16:29:48,772,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,0,16,3,UP,L,incongruent,16:29:50,16:29:51,405,R,0,349,0
undefined,,,,,Flèche,16-Jan-2026,0,17,3,DOWN,R,incongruent,16:29:54,16:29:55,653,L,0,1095,0
undefined,,,,,Flèche,16-Jan-2026,0,18,4,UP,L,congruent,16:29:57,16:29:59,665,R,0,709,0
undefined,,,,,Flèche,16-Jan-2026,0,19,3,DOWN,R,congruent,16:30:01,16:30:02,546,R,1,1322,0
undefined,,,,,Flèche,16-Jan-2026,0,20,1,UP,L,incongruent,16:30:04,16:30:06,813,R,0,721,0
undefined,,,,,Flèche,16-Jan-2026,0,21,2,UP,R,incongruent,16:30:08,16:30:09,534,L,0,594,0
undefined,,,,,Flèche,16-Jan-2026,0,22,4,DOWN,L,congruent,16:30:11,16:30:13,756,L,1,221,0
undefined,,,,,Flèche,16-Jan-2026,0,23,2,DOWN,L,congruent,16:30:15,16:30:16,783,R,0,613,0
undefined,,,,,Flèche,16-Jan-2026,0,24,2,DOWN,L,incongruent,16:30:18,16:30:20,810,R,0,1146,0
undefined,,,,,Flèche,16-Jan-2026,0,25,1,DOWN,L,incongruent,16:30:22,16:30:23,846,R,0,732,0
undefined,,,,,Flèche,16-Jan-2026,0,26,1,UP,R,congruent,16:30:25,16:30:27,745,R,1,599,0
undefined,,,,,Flèche,16-Jan-2026,0,27,1,DOWN,R,congruent,16:30:29,16:30:30,646,L,0,1086,0
undefined,,,,,Flèche,16-Jan-2026,0,28,3,DOWN,L,incongruent,16:30:32,16:30:34,966,R,0,284,0
undefined,,,,,Flèche,16-Jan-2026,0,29,2,UP,L,congruent,16:30:36,16:30:37,511,L,1,342,0
undefined,,,,,Flèche,16-Jan-2026,0,30,4,UP,L,incongruent,16:30:40,16:30:41,965,R,0,458,0
undefined,,,,,Flèche,16-Jan-2026,0,31,1,UP,L,congruent,16:30:43,16:30:44,565,R,0,736,0
undefined,,,,,Flèche,16-Jan-2026,0,32,1,DOWN,L,congruent,16:30:47,16:30:48,795,R,0,581,0
undefined,,,,,Flèche,16-Jan-2026,1,1,2,DOWN,R,congruent,16:30:50,16:30:52,994,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,1,2,2,UP,R,congruent,16:30:54,16:30:55,798,L,0,933,0
undefined,,,,,Flèche,16-Jan-2026,1,3,1,DOWN,L,congruent,16:30:57,16:30:58,642,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,1,4,4,UP,L,incongruent,16:31:01,16:31:02,856,L,1,210,0
undefined,,,,,Flèche,16-Jan-2026,1,5,3,UP,L,congruent,16:31:04,16:31:05,431,R,0,721,0
undefined,,,,,Flèche,16-Jan-2026,1,6,1,DOWN,R,congruent,16:31:08,16:31:09,771,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,1,7,3,DOWN,L,congruent,16:31:11,16:31:12,912,L,1,1138,0
undefined,,,,,Flèche,16-Jan-2026,1,8,2,DOWN,R,incongruent,16:31:15,16:31:16,870,L,0,1110,0
undefined,,,,,Flèche,16-Jan-2026,1,9,4,UP,L,congruent,16:31:18,16:31:20,979,R,0,832,0
undefined,,,,,Flèche,16-Jan-2026,1,10,2,DOWN,L,incongruent,16:31:22,16:31:23,974,L,1,240,0
undefined,,,,,Flèche,16-Jan-2026,1,11,1,DOWN,L,incongruent,16:31:25,16:31:26,912,L,1,948,0
undefined,,,,,Flèche,16-Jan-2026,1,12,3,UP,L,incongruent,16:31:29,16:31:30,760,R,0,1004,0
undefined,,,,,Flèche,16-Jan-2026,1,13,4,UP,R,incongruent,16:31:32,16:31:33,695,L,0,1147,0
undefined,,,,,Flèche,16-Jan-2026,1,14,2,DOWN,L,congruent,16:31:36,16:31:37,484,L,1,778,0
undefined,,,,,Flèche,16-Jan-2026,1,15,4,DOWN,L,congruent,16:31:39,16:31:40,648,L,1,1181,0
undefined,,,,,Flèche,16-Jan-2026,1,16,1,DOWN,R,incongruent,16:31:43,16:31:44,948,R,1,609,0
undefined,,,,,Flèche,16-Jan-2026,1,17,1,UP,R,incongruent,16:31:46,16:31:47,576,R,1,875,0
undefined,,,,,Flèche,16-Jan-2026,1,18,3,UP,R,incongruent,16:31:50,16:31:51,595,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,1,19,3,DOWN,R,congruent,16:31:53,16:31:55,995,R,1,757,0
undefined,,,,,Flèche,16-Jan-2026,1,20,2,UP,L,incongruent,16:31:57,16:31:58,914,L,1,1078,0
undefined,,,,,Flèche,16-Jan-2026,1,21,4,DOWN,L,incongruent,16:32:00,16:32:02,962,L,1,458,0
undefined,,,,,Flèche,16-Jan-2026,1,22,4,DOWN,R,incongruent,16:32:04,16:32:05,438,L,0,543,0
undefined,,,,,Flèche,16-Jan-2026,1,23,2,UP,R,incongruent,16:32:07,16:32:08,585,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,1,24,2,UP,L,congruent,16:32:11,16:32:12,994,L,1,794,0
undefined,,,,,Flèche,16-Jan-2026,1,25,4,UP,R,congruent,16:32:14,16:32:15,495,L,0,836,0
undefined,,,,,Flèche,16-Jan-2026,1,26,1,UP,R,congruent,16:32:18,16:32:19,420,R,1,1040,0
undefined,,,,,Flèche,16-Jan-2026,1,27,3,DOWN,R,incongruent,16:32:21,16:32:22,666,L,0,713,0
undefined,,,,,Flèche,16-Jan-2026,1,28,3,UP,R,congruent,16:32:25,16:32:26,1000,L,0,263,0
undefined,,,,,Flèche,16-Jan-2026,1,29,1,UP,L,incongruent,16:32:28,16:32:30,942,L,1,1149,0
undefined,,,,,Flèche,16-Jan-2026,1,30,1,UP,L,congruent,16:32:32,16:32:33,803,R,0,227,0
undefined,,,,,Flèche,16-Jan-2026,1,31,3,DOWN,L,incongruent,16:32:35,16:32:36,493,L,1,1232,0
undefined,,,,,Flèche,16-Jan-2026,1,32,4,DOWN,R,congruent,16:32:39,16:32:40,437,R,1,919,0
undefined,,,,,Flèche,16-Jan-2026,2,1,2,DOWN,L,incongruent,16:32:42,16:32:43,679,R,0,1127,0
undefined,,,,,Flèche,16-Jan-2026,2,2,2,UP,R,congruent,16:32:46,16:32:47,883,L,0,600,0
undefined,,,,,Flèche,16-Jan-2026,2,3,2,DOWN,R,incongruent,16:32:49,16:32:51,917,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,2,4,4,UP,L,congruent,16:32:53,16:32:54,871,L,1,819,0
undefined,,,,,Flèche,16-Jan-2026,2,5,3,DOWN,L,congruent,16:32:56,16:32:57,700,L,1,988,0
undefined,,,,,Flèche,16-Jan-2026,2,6,2,UP,L,incongruent,16:33:00,16:33:01,543,R,0,511,0
undefined,,,,,Flèche,16-Jan-2026,2,7,1,DOWN,L,incongruent,16:33:03,16:33:04,630,L,1,448,0
undefined,,,,,Flèche,16-Jan-2026,2,8,4,UP,R,congruent,16:33:07,16:33:08,908,L,0,1066,0
undefined,,,,,Flèche,16-Jan-2026,2,9,3,DOWN,R,incongruent,16:33:10,16:33:11,669,R,0,39,1
undefined,,,,,Flèche,16-Jan-2026,2,10,2,UP,L,congruent,16:33:14,16:33:15,834,L,1,998,0
undefined,,,,,Flèche,16-Jan-2026,2,11,3,UP,L,incongruent,16:33:17,16:33:19,844,R,0,1160,0
undefined,,,,,Flèche,16-Jan-2026,2,12,4,UP,R,incongruent,16:33:21,16:33:22,695,L,0,258,0
