uniqueID,StudyNum,age,sex,group,targFile,Date,block,trial,CueType,TargLoc,TargDirection,Congruency,TrialStartTime,targetOnTime,firstFix,Response,Correct,RT,LowRT
undefined,,,,,Flèche,16-Jan-2026,0,1,3,DOWN,R,incongruent,15:50:12,15:50:13,529,R,1,856,0
undefined,,,,,Flèche,16-Jan-2026,0,2,4,DOWN,L,congruent,15:50:16,15:50:17,489,R,0,1204,0
undefined,,,,,Flèche,16-Jan-2026,0,3,1,DOWN,L,congruent,15:50:19,15:50:20,443,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,0,4,1,DOWN,L,incongruent,15:50:23,15:50:24,725,R,0,812,0
undefined,,,,,Flèche,16-Jan-2026,0,5,3,DOWN,L,congruent,15:50:26,15:50:27,752,R,0,210,0
undefined,,,,,Flèche,16-Jan-2026,0,6,3,DOWN,R,congruent,15:50:30,15:50:31,870,L,0,963,0
undefined,,,,,Flèche,16-Jan-2026,0,7,4,UP,R,congruent,15:50:33,15:50:35,838,R,1,659,0
undefined,,,,,Flèche,16-Jan-2026,0,8,1,DOWN,R,incongruent,15:50:37,15:50:38,428,L,0,28,1
undefined,,,,,Flèche,16-Jan-2026,0,9,4,DOWN,R,incongruent,15:50:40,15:50:41,578,L,0,739,0
undefined,,,,,Flèche,16-Jan-2026,0,10,3,DOWN,L,incongruent,15:50:44,15:50:45,952,L,1,641,0
undefined,,,,,Flèche,16-Jan-2026,0,11,2,DOWN,L,congruent,15:50:47,15:50:49,951,R,0,1219,0
undefined,,,,,Flèche,16-Jan-2026,0,12,3,UP,R,incongruent,15:50:51,15:50:52,503,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,0,13,2,UP,R,incongruent,15:50:54,15:50:56,763,L,0,640,0
undefined,,,,,Flèche,16-Jan-2026,0,14,2,DOWN,L,incongruent,15:50:58,15:50:59,842,R,0,295,0
undefined,,,,,Flèche,16-Jan-2026,0,15,4,DOWN,R,congruent,15:51:01,15:51:02,561,R,1,587,0
undefined,,,,,Flèche,16-Jan-2026,0,16,4,UP,L,incongruent,15:51:05,15:51:06,980,R,0,369,0
undefined,,,,,Flèche,16-Jan-2026,0,17,4,UP,L,congruent,15:51:08,15:51:09,704,R,0,815,0
undefined,,,,,Flèche,16-Jan-2026,0,18,3,UP,L,congruent,15:51:12,15:51:13,930,R,0,726,0
undefined,,,,,Flèche,16-Jan-2026,0,19,4,UP,R,incongruent,15:51:15,15:51:16,711,L,0,1111,0
undefined,,,,,Flèche,16-Jan-2026,0,20,2,UP,L,incongruent,15:51:19,15:51:20,926,L,1,1107,0
undefined,,,,,Flèche,16-Jan-2026,0,21,1,UP,L,congruent,15:51:22,15:51:24,873,R,0,422,0
undefined,,,,,Flèche,16-Jan-2026,0,22,1,UP,R,congruent,15:51:26,15:51:27,794,L,0,308,0
undefined,,,,,Flèche,16-Jan-2026,0,23,2,DOWN,R,incongruent,15:51:29,15:51:30,603,R,0,59,1
undefined,,,,,Flèche,16-Jan-2026,0,24,1,UP,L,incongruent,15:51:33,15:51:34,730,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,0,25,1,DOWN,R,congruent,15:51:36,15:51:37,527,L,0,262,0
undefined,,,,,Flèche,16-Jan-2026,0,26,2,UP,R,congruent,15:51:40,15:51:41,614,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,0,27,3,UP,R,congruent,15:51:43,15:51:44,488,L,0,840,0
undefined,,,,,Flèche,16-Jan-2026,0,28,4,DOWN,L,incongruent,15:51:47,15:51:48,729,L,1,523,0
undefined,,,,,Flèche,16-Jan-2026,0,29,2,UP,L,congruent,15:51:50,15:51:51,487,R,0,805,0
undefined,,,,,Flèche,16-Jan-2026,0,30,2,DOWN,R,congruent,15:51:54,15:51:55,700,R,1,223,0
undefined,,,,,Flèche,16-Jan-2026,0,31,1,UP,R,incongruent,15:51:57,15:51:59,941,L,0,789,0
undefined,,,,,Flèche,16-Jan-2026,0,32,3,UP,L,incongruent,15:52:01,15:52:02,846,R,0,735,0
undefined,,,,,Flèche,16-Jan-2026,1,1,3,UP,L,incongruent,15:52:04,15:52:06,978,None,0,1500,0
undefined,,,,,Flèche,16-Jan-2026,1,2,3,DOWN,R,incongruent,15:52:08,15:52:09,604,R,1,730,0
undefined,,,,,Flèche,16-Jan-2026,1,3,3,UP,R,incongruent,15:52:11,15:52:13,710,R,1,761,0
undefined,,,,,Flèche,16-Jan-2026,1,4,2,DOWN,L,incongruent,15:52:15,15:52:16,768,L,1,1057,0
undefined,,,,,Flèche,16-Jan-2026,1,5,4,UP,L,congruent,15:52:18,15:52:19,555,R,0,306,0
undefined,,,,,Flèche,16-Jan-2026,1,6,3,UP,L,congruent,15:52:22,15:52:23,502,L,1,660,0
undefined,,,,,Flèche,16-Jan-2026,1,7,3,DOWN,R,congruent,15:52:25,15:52:26,614,L,0,1072,0
undefined,,,,,Flèche,16-Jan-2026,1,8,2,DOWN,R,incongruent,15:52:29,15:52:30,502,R,1,777,0
undefined,,,,,Flèche,16-Jan-2026,1,9,4,DOWN,R,incongruent,15:52:32,15:52:34,779,L,0,702,0
undefined,,,,,Flèche,16-Jan-2026,1,10,2,DOWN,L,congruent,15:52:36,15:52:37,965,L,1,1158,0
undefined,,,,,Flèche,16-Jan-2026,1,11,1,DOWN,L,incongruent,15:52:39,15:52:40,521,R,0,724,0
undefined,,,,,Flèche,16-Jan-2026,1,12,2,UP,R,congruent,15:52:43,15:52:44,695,L,0,904,0
undefined,,,,,Flèche,16-Jan-2026,1,13,1,DOWN,L,congruent,15:52:46,15:52:47,582,R,0,849,0
undefined,,,,,Flèche,16-Jan-2026,1,14,4,DOWN,L,congruent,15:52:50,15:52:51,881,L,1,931,0
undefined,,,,,Flèche,16-Jan-2026,1,15,1,UP,R,incongruent,15:52:53,15:52:54,621,L,0,687,0
undefined,,,,,Flèche,16-Jan-2026,1,16,3,UP,R,congruent,15:52:57,15:52:58,838,L,0,674,0
undefined,,,,,Flèche,16-Jan-2026,1,17,2,UP,L,incongruent,15:53:00,15:53:02,790,R,0,811,0
undefined,,,,,Flèche,16-Jan-2026,1,18,1,DOWN,R,incongruent,15:53:04,15:53:05,857,L,0,899,0
undefined,,,,,Flèche,16-Jan-2026,1,19,1,DOWN,R,congruent,15:53:07,15:53:09,637,R,1,1164,0
undefined,,,,,Flèche,16-Jan-2026,1,20,4,UP,R,congruent,15:53:11,15:53:12,903,R,1,928,0
undefined,,,,,Flèche,16-Jan-2026,1,21,1,UP,L,congruent,15:53:14,15:53:16,698,R,0,30,1
undefined,,,,,Flèche,16-Jan-2026,1,22,4,UP,L,incongruent,15:53:18,15:53:19,411,L,1,1248,0
undefined,,,,,Flèche,16-Jan-2026,1,23,4,UP,R,incongruent,15:53:21,15:53:22,556,L,0,594,0
undefined,,,,,Flèche,16-Jan-2026,1,24,1,UP,R,congruent,15:53:25,15:53:26,947,L,0,665,0
undefined,,,,,Flèche,16-Jan-2026,1,25,3,DOWN,L,incongruent,15:53:28,15:53:30,968,L,1,333,0
undefined,,,,,Flèche,16-Jan-2026,1,26,2,DOWN,R,congruent,15:53:32,15:53:33,883,L,0,809,0
undefined,,,,,Flèche,16-Jan-2026,1,27,3,DOWN,L,congruent,15:53:35,15:53:37,949,R,0,932,0
